[2025-07-16 22:55:28,653] 160:numexpr.utils-INFO-NumExpr defaulting to 4 threads.
[2025-07-16 22:55:33,888] 29:root-INFO-Data Ingestion Mode START
[2025-07-16 22:55:35,433] 35:root-INFO-Exported collectin as dataframe
[2025-07-16 22:55:35,449] 39:root-INFO-Raw Data is created
[2025-07-16 22:55:35,465] 44:root-INFO-train and test Data is created
[2025-07-16 22:55:35,559] 50:root-INFO-Read train and test data completed
[2025-07-16 22:55:35,559] 52:root-INFO-Obtaining preprocessing object
[2025-07-16 22:55:35,559] 35:root-INFO-Numerical column standard scaling done
[2025-07-16 22:55:35,559] 53:root-INFO-Splitting training and testing input and target feature
[2025-07-16 22:55:35,559] 104:root-INFO-Extracting model config file path
[2025-07-16 22:55:38,815] 83:root-INFO-Error occured during model training
[2025-07-16 22:55:38,815] 143:root-INFO-Exception occured at model traning
