[2025-07-16 20:26:37,199] 160:numexpr.utils-INFO-NumExpr defaulting to 4 threads.
[2025-07-16 20:26:41,630] 29:root-INFO-Data Ingestion Mode START
[2025-07-16 20:26:43,001] 35:root-INFO-Exported collectin as dataframe
[2025-07-16 20:26:43,015] 39:root-INFO-Raw Data is created
[2025-07-16 20:26:43,015] 44:root-INFO-train and test Data is created
[2025-07-16 20:26:43,101] 50:root-INFO-Read train and test data completed
[2025-07-16 20:26:43,101] 52:root-INFO-Obtaining preprocessing object
[2025-07-16 20:26:43,101] 35:root-INFO-Numerical column standard scaling done
[2025-07-16 20:26:43,111] 53:root-INFO-Splitting training and testing input and target feature
[2025-07-16 20:26:43,111] 71:root-INFO-Extracting model config file path
[2025-07-16 20:26:44,706] 110:root-INFO-Exception occured at model traning
