[2025-07-16 20:51:00,686] 160:numexpr.utils-INFO-NumExpr defaulting to 4 threads.
[2025-07-16 20:51:05,316] 29:root-INFO-Data Ingestion Mode START
[2025-07-16 20:51:06,653] 35:root-INFO-Exported collectin as dataframe
[2025-07-16 20:51:06,659] 39:root-INFO-Raw Data is created
[2025-07-16 20:51:06,676] 44:root-INFO-train and test Data is created
[2025-07-16 20:51:06,762] 50:root-INFO-Read train and test data completed
[2025-07-16 20:51:06,762] 52:root-INFO-Obtaining preprocessing object
[2025-07-16 20:51:06,762] 35:root-INFO-Numerical column standard scaling done
[2025-07-16 20:51:06,762] 53:root-INFO-Splitting training and testing input and target feature
[2025-07-16 20:51:06,762] 71:root-INFO-Extracting model config file path
[2025-07-16 20:51:08,158] 89:root-INFO-Best found model on both training and testing dataset
[2025-07-16 20:51:08,158] 98:root-INFO-Saving model at path: artifacts\model.pkl
