[2025-07-16 20:22:10,050] 160:numexpr.utils-INFO-NumExpr defaulting to 4 threads.
[2025-07-16 20:22:14,686] 29:root-INFO-Data Ingestion Mode START
[2025-07-16 20:22:15,953] 35:root-INFO-Exported collectin as dataframe
[2025-07-16 20:22:15,968] 39:root-INFO-Raw Data is created
[2025-07-16 20:22:15,981] 44:root-INFO-train and test Data is created
[2025-07-16 20:22:16,071] 50:root-INFO-Read train and test data completed
[2025-07-16 20:22:16,071] 52:root-INFO-Obtaining preprocessing object
[2025-07-16 20:22:16,072] 35:root-INFO-Numerical column standard scaling done
[2025-07-16 20:22:16,080] 53:root-INFO-Splitting training and testing input and target feature
[2025-07-16 20:22:16,080] 71:root-INFO-Extracting model config file path
[2025-07-16 20:22:17,390] 110:root-INFO-Exception occured at model traning
