[2025-07-16 22:44:15,946] 160:numexpr.utils-INFO-NumExpr defaulting to 4 threads.
[2025-07-16 22:44:21,458] 29:root-INFO-Data Ingestion Mode START
[2025-07-16 22:44:23,526] 35:root-INFO-Exported collectin as dataframe
[2025-07-16 22:44:23,540] 39:root-INFO-Raw Data is created
[2025-07-16 22:44:23,555] 44:root-INFO-train and test Data is created
[2025-07-16 22:44:23,637] 50:root-INFO-Read train and test data completed
[2025-07-16 22:44:23,637] 52:root-INFO-Obtaining preprocessing object
[2025-07-16 22:44:23,638] 35:root-INFO-Numerical column standard scaling done
[2025-07-16 22:44:23,649] 53:root-INFO-Splitting training and testing input and target feature
[2025-07-16 22:44:23,649] 104:root-INFO-Extracting model config file path
[2025-07-16 22:44:23,649] 83:root-INFO-Error occured during model training
[2025-07-16 22:44:23,650] 143:root-INFO-Exception occured at model traning
